Model,Feature,SHAP_Importance
Linear Regression,influenza_X_month_sin,0.6649000385429384
Linear Regression,influenza_X_month_cos,1.6269727695160583
Linear Regression,scaled_flu symptoms_X_month_sin,0.5816294658899965
Linear Regression,scaled_flu symptoms_X_month_cos,1.0022148927641745
Linear Regression,scaled_fever_X_month_sin,1.5998627715728069
Linear Regression,scaled_fever_X_month_cos,5.937990661148919
Linear Regression,scaled_cough_X_month_sin,0.016904258251468244
Linear Regression,scaled_cough_X_month_cos,5.575221748647698
Linear Regression,scaled_sore throat_X_month_sin,0.96696702968258
Linear Regression,scaled_sore throat_X_month_cos,1.0866833682342496
Linear Regression,scaled_influenza_X_month_sin,0.6649000385429628
Linear Regression,scaled_influenza_X_month_cos,1.6269727695161333
Linear Regression,flu symptoms_lag3_squared.1,0.21125112912079547
Linear Regression,influenza_lag3_squared.1,0.1905462805556225
Linear Regression,scaled_flu symptoms_lag3_squared.1,0.21125112912079583
Linear Regression,scaled_influenza_lag3_squared.1,0.19054628055562015
Linear Regression,flu symptoms_rolling_avg,0.7894852538896727
Linear Regression,fever_rolling_avg,1.4091948373853014
Linear Regression,cough_rolling_avg,0.7102160899291472
Linear Regression,sore throat_rolling_avg,0.7719847194976618
Linear Regression,influenza_rolling_avg,0.9858206994701302
Linear Regression,scaled_flu symptoms_rolling_avg,0.7894852538896925
Linear Regression,scaled_fever_rolling_avg,1.4091948373851966
Linear Regression,scaled_cough_rolling_avg,0.7102160899290956
Linear Regression,scaled_sore throat_rolling_avg,0.7719847194976006
Linear Regression,scaled_influenza_rolling_avg,0.985820699470163
Ridge,month,0.08659651627491849
Ridge,quarter,0.07373527322910893
Ridge,season_Spring,0.1644871532959237
Ridge,season_Summer,0.28478415335852264
Ridge,season_Winter,0.07346704436271834
Ridge,month_sin,0.11220328247010562
Ridge,month_cos,0.06547353600494088
Ridge,time_index,0.002637102074401687
Ridge,flu symptoms_lag1,0.005917137141744837
Ridge,flu symptoms_lag2,0.04486181347956468
Ridge,flu symptoms_lag3,0.005855006005234154
Ridge,flu symptoms_lag4,0.031062368725170226
Ridge,flu symptoms_lag5,0.042958565642735425
Ridge,flu symptoms_lag6,0.05630685893502786
Ridge,flu symptoms_lag7,0.01637707006248396
Ridge,flu symptoms_lag8,0.047960642759720215
Ridge,fever_lag1,0.018225182447846832
Ridge,fever_lag2,0.07008646298931664
Ridge,fever_lag3,0.02114818514764512
Ridge,fever_lag4,0.04689393089286682
Ridge,fever_lag5,0.024059383317854705
Ridge,fever_lag6,0.025276453112743586
Ridge,fever_lag7,0.013047845018681042
Ridge,fever_lag8,0.012654529317990815
Ridge,cough_lag1,0.001057477227885577
Ridge,cough_lag2,0.02433223390328191
Ridge,cough_lag3,0.0005669932926573344
Ridge,cough_lag4,0.0134571105643321
Ridge,cough_lag5,0.022715550959094055
Ridge,cough_lag6,0.00796447160641105
Ridge,cough_lag7,0.00538433498428906
Ridge,cough_lag8,0.004748788698056304
Ridge,sore throat_lag1,0.03279636926931705
Ridge,sore throat_lag2,0.004532692737004646
Ridge,sore throat_lag3,0.020343175386912722
Ridge,sore throat_lag4,0.021104631560744314
Ridge,sore throat_lag5,0.02241583966474112
Ridge,sore throat_lag6,0.002148188845714369
Ridge,sore throat_lag7,0.001546210976626042
Ridge,sore throat_lag8,0.013971401261200783
Ridge,influenza_lag1,0.02024911741779679
Ridge,influenza_lag2,0.013053598767700398
Ridge,influenza_lag3,0.0032880672537810842
Ridge,influenza_lag4,0.002409375344213846
Ridge,influenza_lag5,0.02896809896860496
Ridge,influenza_lag6,0.0027701195569176766
Ridge,influenza_lag7,0.021850270500079937
Ridge,influenza_lag8,0.027504745749098558
Ridge,ili_percent_lag1,0.023352861579740435
Ridge,ili_percent_lag2,0.014128091367977486
Ridge,ili_percent_lag3,0.03142068915876403
Ridge,flu symptoms_lag3_squared,0.007340996095467714
Ridge,influenza_lag3_squared,0.018989379693580822
Ridge,scaled_flu symptoms_lag1,0.005917137141744837
Ridge,scaled_flu symptoms_lag2,0.04486181347956471
Ridge,scaled_flu symptoms_lag3,0.005855006005234137
Ridge,scaled_flu symptoms_lag4,0.031062368725170254
Ridge,scaled_flu symptoms_lag5,0.04295856564273533
Ridge,scaled_flu symptoms_lag6,0.05630685893502794
Ridge,scaled_flu symptoms_lag7,0.016377070062483994
Ridge,scaled_flu symptoms_lag8,0.04796064275972019
Ridge,scaled_fever_lag1,0.018225182447846797
Ridge,scaled_fever_lag2,0.07008646298931673
Ridge,scaled_fever_lag3,0.021148185147645118
Ridge,scaled_fever_lag4,0.04689393089286718
Ridge,scaled_fever_lag5,0.02405938331785481
Ridge,scaled_fever_lag6,0.025276453112743485
Ridge,scaled_fever_lag7,0.013047845018681083
Ridge,scaled_fever_lag8,0.012654529317990817
Ridge,scaled_cough_lag1,0.00105747722788553
Ridge,scaled_cough_lag2,0.024332233903281927
Ridge,scaled_cough_lag3,0.0005669932926573572
Ridge,scaled_cough_lag4,0.013457110564332136
Ridge,scaled_cough_lag5,0.022715550959094048
Ridge,scaled_cough_lag6,0.00796447160641112
Ridge,scaled_cough_lag7,0.005384334984289122
Ridge,scaled_cough_lag8,0.004748788698056326
Ridge,scaled_sore throat_lag1,0.032796369269317095
Ridge,scaled_sore throat_lag2,0.004532692737004679
Ridge,scaled_sore throat_lag3,0.02034317538691272
Ridge,scaled_sore throat_lag4,0.02110463156074429
Ridge,scaled_sore throat_lag5,0.02241583966474107
Ridge,scaled_sore throat_lag6,0.0021481888457143333
Ridge,scaled_sore throat_lag7,0.0015462109766260107
Ridge,scaled_sore throat_lag8,0.013971401261200772
Ridge,scaled_influenza_lag1,0.020249117417796798
Ridge,scaled_influenza_lag2,0.013053598767700413
Ridge,scaled_influenza_lag3,0.0032880672537810712
