Model,MAE,RMSE,R²
Random Forest (optimized),0.5117498368408706,0.677081568142356,0.8267527732587989
XGBoost (optimized),0.5475824729336116,0.6807560503482606,0.8248672656308214
Lasso (α=0.1),0.583123295692584,0.6945991882700611,0.817672216886963
Ridge (α=10.0),0.5852924531656294,0.7637872156895684,0.7795403679058452
LSTM Neural Network,0.8742233374449535,1.0627435033547596,0.6067393213856993
Ensemble (Average),1.5079478770440728,1.9804473205135786,-0.48221395601060446
"ARIMA(1,1,1)",2.912863557149824,3.223450713830411,-2.926687836979414
Linear Regression,7.4701477671165275,9.818110257061921,-35.428401824023226
